num_edges,peak_memory_mb,memory_used_mb,theoretical_edge_mb,total_mlp_params,total_activation_size,mlp_layers,training_multiplier,success,mlp_config,mode,target_edges,error
10000,15.6591796875,15.38330078125,8.1634521484375,9808,214,"[6, 64, 64, 64, 16]",1.0,True,"[64, 64, 64]",inference,10000,
50000,41.29248046875,32.28125,40.8172607421875,9808,214,"[6, 64, 64, 64, 16]",1.0,True,"[64, 64, 64]",inference,50000,
100000,74.251953125,63.5625,81.634521484375,9808,214,"[6, 64, 64, 64, 16]",1.0,True,"[64, 64, 64]",inference,100000,
200000,137.93701171875,126.5537109375,163.26904296875,9808,214,"[6, 64, 64, 64, 16]",1.0,True,"[64, 64, 64]",inference,200000,
500000,332.03564453125,315.822265625,408.172607421875,9808,214,"[6, 64, 64, 64, 16]",1.0,True,"[64, 64, 64]",inference,500000,
1000000,654.2470703125,629.24365234375,816.34521484375,9808,214,"[6, 64, 64, 64, 16]",1.0,True,"[64, 64, 64]",inference,1000000,
5000000,3221.6484375,3132.99462890625,4081.72607421875,9808,214,"[6, 64, 64, 64, 16]",1.0,True,"[64, 64, 64]",inference,5000000,
10000000,6427.58740234375,6258.291015625,8163.4521484375,9808,214,"[6, 64, 64, 64, 16]",1.0,True,"[64, 64, 64]",inference,10000000,
20000000,12844.54443359375,12513.443359375,16326.904296875,9808,214,"[6, 64, 64, 64, 16]",1.0,True,"[64, 64, 64]",inference,20000000,
10000,25.826171875,17.42529296875,20.40863037109375,9808,214,"[6, 64, 64, 64, 16]",2.5,True,"[64, 64, 64]",training,10000,
50000,62.091796875,44.95556640625,102.04315185546875,9808,214,"[6, 64, 64, 64, 16]",2.5,True,"[64, 64, 64]",training,50000,
100000,108.3896484375,89.5751953125,204.0863037109375,9808,214,"[6, 64, 64, 64, 16]",2.5,True,"[64, 64, 64]",training,100000,
200000,199.19677734375,179.6884765625,408.172607421875,9808,214,"[6, 64, 64, 64, 16]",2.5,True,"[64, 64, 64]",training,200000,
500000,480.8486328125,456.51025390625,1020.4315185546875,9808,214,"[6, 64, 64, 64, 16]",2.5,True,"[64, 64, 64]",training,500000,
1000000,931.357421875,898.22900390625,2040.863037109375,9808,214,"[6, 64, 64, 64, 16]",2.5,True,"[64, 64, 64]",training,1000000,
5000000,4585.45556640625,4488.6767578125,10204.315185546875,9808,214,"[6, 64, 64, 64, 16]",2.5,True,"[64, 64, 64]",training,5000000,
10000000,9150.23388671875,8972.8125,20408.63037109375,9808,214,"[6, 64, 64, 64, 16]",2.5,True,"[64, 64, 64]",training,10000000,
20000000,18286.31005859375,17947.083984375,40817.2607421875,9808,214,"[6, 64, 64, 64, 16]",2.5,True,"[64, 64, 64]",training,20000000,
10000,28.76611328125,12.14111328125,15.4876708984375,35984,406,"[6, 128, 128, 128, 16]",1.0,True,"[128, 128, 128]",inference,10000,
50000,73.9306640625,56.6953125,77.4383544921875,35984,406,"[6, 128, 128, 128, 16]",1.0,True,"[128, 128, 128]",inference,50000,
100000,131.30419921875,112.390625,154.876708984375,35984,406,"[6, 128, 128, 128, 16]",1.0,True,"[128, 128, 128]",inference,100000,
200000,244.5048828125,224.8974609375,309.75341796875,35984,406,"[6, 128, 128, 128, 16]",1.0,True,"[128, 128, 128]",inference,200000,
500000,582.91845703125,558.48095703125,774.383544921875,35984,406,"[6, 128, 128, 128, 16]",1.0,True,"[128, 128, 128]",inference,500000,
1000000,1151.18310546875,1117.95556640625,1548.76708984375,35984,406,"[6, 128, 128, 128, 16]",1.0,True,"[128, 128, 128]",inference,1000000,
5000000,5672.46630859375,5575.58837890625,7743.83544921875,35984,406,"[6, 128, 128, 128, 16]",1.0,True,"[128, 128, 128]",inference,5000000,
10000000,11317.4365234375,11139.916015625,15487.6708984375,35984,406,"[6, 128, 128, 128, 16]",1.0,True,"[128, 128, 128]",inference,10000000,
20000000,22619.1435546875,22279.818359375,30975.341796875,35984,406,"[6, 128, 128, 128, 16]",1.0,True,"[128, 128, 128]",inference,20000000,
10000,36.28125,19.65625,38.71917724609375,35984,406,"[6, 128, 128, 128, 16]",2.5,True,"[128, 128, 128]",training,10000,
50000,115.5859375,98.3505859375,193.59588623046875,35984,406,"[6, 128, 128, 128, 16]",2.5,True,"[128, 128, 128]",training,50000,
100000,217.11328125,198.19970703125,387.1917724609375,35984,406,"[6, 128, 128, 128, 16]",2.5,True,"[128, 128, 128]",training,100000,
200000,411.384765625,391.77734375,774.383544921875,35984,406,"[6, 128, 128, 128, 16]",2.5,True,"[128, 128, 128]",training,200000,
500000,900.94091796875,876.50341796875,1935.9588623046875,35984,406,"[6, 128, 128, 128, 16]",2.5,True,"[128, 128, 128]",training,500000,
1000000,1785.513671875,1752.2861328125,3871.917724609375,35984,406,"[6, 128, 128, 128, 16]",2.5,True,"[128, 128, 128]",training,1000000,
5000000,8866.29052734375,8769.41259765625,19359.588623046875,35984,406,"[6, 128, 128, 128, 16]",2.5,True,"[128, 128, 128]",training,5000000,
10000000,17692.25439453125,17514.73388671875,38719.17724609375,35984,406,"[6, 128, 128, 128, 16]",2.5,True,"[128, 128, 128]",training,10000000,
20000000,inf,inf,inf,384,422,"[22, 128, 128, 128, 16]",2.5,False,"[128, 128, 128]",training,20000000,OOM
10000,39.3876953125,22.37548828125,30.1361083984375,137488,790,"[6, 256, 256, 256, 16]",1.0,True,"[256, 256, 256]",inference,10000,
50000,123.14599609375,105.5234375,150.6805419921875,137488,790,"[6, 256, 256, 256, 16]",1.0,True,"[256, 256, 256]",inference,50000,
100000,230.03515625,210.734375,301.361083984375,137488,790,"[6, 256, 256, 256, 16]",1.0,True,"[256, 256, 256]",inference,100000,
200000,440.89208984375,420.8974609375,602.72216796875,137488,790,"[6, 256, 256, 256, 16]",1.0,True,"[256, 256, 256]",inference,200000,
500000,1071.5869140625,1046.76220703125,1506.805419921875,137488,790,"[6, 256, 256, 256, 16]",1.0,True,"[256, 256, 256]",inference,500000,
1000000,2128.1328125,2094.51806640625,3013.61083984375,137488,790,"[6, 256, 256, 256, 16]",1.0,True,"[256, 256, 256]",inference,1000000,
5000000,10554.478515625,10457.21337890625,15068.05419921875,137488,790,"[6, 256, 256, 256, 16]",1.0,True,"[256, 256, 256]",inference,5000000,
10000000,21084.19873046875,20906.291015625,30136.1083984375,137488,790,"[6, 256, 256, 256, 16]",1.0,True,"[256, 256, 256]",inference,10000000,
20000000,inf,inf,inf,768,806,"[22, 256, 256, 256, 16]",1.0,False,"[256, 256, 256]",inference,20000000,OOM
10000,56.12109375,39.10888671875,75.34027099609375,137488,790,"[6, 256, 256, 256, 16]",2.5,True,"[256, 256, 256]",training,10000,
50000,213.8896484375,196.26708984375,376.70135498046875,137488,790,"[6, 256, 256, 256, 16]",2.5,True,"[256, 256, 256]",training,50000,
100000,406.8671875,387.56640625,753.4027099609375,137488,790,"[6, 256, 256, 256, 16]",2.5,True,"[256, 256, 256]",training,100000,
200000,714.71923828125,694.724609375,1506.805419921875,137488,790,"[6, 256, 256, 256, 16]",2.5,True,"[256, 256, 256]",training,200000,
500000,1758.34814453125,1733.5234375,3767.0135498046875,137488,790,"[6, 256, 256, 256, 16]",2.5,True,"[256, 256, 256]",training,500000,
1000000,3495.951171875,3462.33642578125,7534.027099609375,137488,790,"[6, 256, 256, 256, 16]",2.5,True,"[256, 256, 256]",training,1000000,
5000000,17392.33447265625,17295.0693359375,37670.135498046875,137488,790,"[6, 256, 256, 256, 16]",2.5,True,"[256, 256, 256]",training,5000000,
10000000,inf,inf,inf,768,806,"[22, 256, 256, 256, 16]",2.5,False,"[256, 256, 256]",training,10000000,OOM
