actual_edges,peak_allocated,peak_reserved,memory_increase,component,mode,target_edges
499999,295.083984375,344.0,269.1337890625,encoder,training,499999
616423,297.482421875,356.0,253.72314453125,encoder,training,616423
759955,298.6904296875,356.0,252.8837890625,encoder,training,759955
936908,301.533203125,356.0,252.8837890625,encoder,training,936908
1155064,305.11181640625,376.0,252.8837890625,encoder,training,1155064
1424017,309.23681640625,378.0,252.8837890625,encoder,training,1424017
1755595,314.025390625,384.0,252.8837890625,encoder,training,1755595
2164380,321.23681640625,390.0,252.8837890625,encoder,training,2164380
2668349,327.95263671875,398.0,252.8837890625,encoder,training,2668349
3289666,337.43359375,408.0,252.8837890625,encoder,training,3289666
4055654,349.23681640625,418.0,252.8837890625,encoder,training,4055654
4999999,363.53076171875,434.0,252.8837890625,encoder,training,4999999
499999,179.45654296875,230.0,137.47412109375,encoder,inference,499999
616423,182.0751953125,230.0,138.31591796875,encoder,inference,616423
759955,183.28369140625,230.0,137.47705078125,encoder,inference,759955
936908,186.1240234375,230.0,137.474609375,encoder,inference,936908
1155064,189.70361328125,250.0,137.4755859375,encoder,inference,1155064
1424017,193.830078125,252.0,137.47705078125,encoder,inference,1424017
1755595,198.61376953125,258.0,137.47216796875,encoder,inference,1755595
2164380,205.82763671875,264.0,137.474609375,encoder,inference,2164380
2668349,212.54443359375,272.0,137.4755859375,encoder,inference,2668349
3289666,222.02783203125,282.0,137.47802734375,encoder,inference,3289666
4055654,233.82861328125,292.0,137.4755859375,encoder,inference,4055654
4999999,248.1240234375,308.0,137.47705078125,encoder,inference,4999999
499999,8155.33935546875,8166.0,8112.3564453125,decoder,training,499999
616423,8157.1142578125,8166.0,8112.3544921875,decoder,training,616423
759955,8159.62451171875,8166.0,8112.8173828125,decoder,training,759955
936908,8162.00439453125,8186.0,8112.3544921875,decoder,training,936908
1155064,8165.5830078125,8186.0,8112.3544921875,decoder,training,1155064
1424017,8169.708984375,8188.0,8112.35546875,decoder,training,1424017
1755595,8174.49560546875,8194.0,8112.353515625,decoder,training,1755595
2164380,8181.7080078125,8200.0,8112.3544921875,decoder,training,2164380
2668349,8188.42578125,8208.0,8112.3564453125,decoder,training,2668349
3289666,8197.90576171875,8218.0,8112.35546875,decoder,training,3289666
4055654,8209.708984375,8228.0,8112.35546875,decoder,training,4055654
4999999,8224.0009765625,8244.0,8112.353515625,decoder,training,4999999
499999,8155.33837890625,8166.0,8112.35546875,decoder,inference,499999
616423,8157.1162109375,8166.0,8112.3564453125,decoder,inference,616423
759955,8159.62158203125,8166.0,8112.814453125,decoder,inference,759955
936908,8162.00537109375,8186.0,8112.35546875,decoder,inference,936908
1155064,8165.5849609375,8186.0,8112.3564453125,decoder,inference,1155064
1424017,8169.7080078125,8188.0,8112.3544921875,decoder,inference,1424017
1755595,8174.49755859375,8194.0,8112.35546875,decoder,inference,1755595
2164380,8181.7080078125,8200.0,8112.3544921875,decoder,inference,2164380
2668349,8188.423828125,8208.0,8112.3544921875,decoder,inference,2668349
3289666,8197.90771484375,8218.0,8112.357421875,decoder,inference,3289666
4055654,8209.708984375,8228.0,8112.35546875,decoder,inference,4055654
4999999,8224.0029296875,8244.0,8112.35546875,decoder,inference,4999999
499999,8282.40087890625,8458.0,8160.10693359375,full_model,training,499999
616423,8284.97900390625,8458.0,8160.06884765625,full_model,training,616423
759955,8287.5390625,8448.0,8160.87451171875,full_model,training,759955
936908,8288.7138671875,8454.0,8159.7529296875,full_model,training,936908
1155064,8293.58740234375,8456.0,8160.9228515625,full_model,training,1155064
1424017,8296.40771484375,8460.0,8159.7431640625,full_model,training,1424017
1755595,8302.310546875,8466.0,8160.857421875,full_model,training,1755595
2164380,8309.544921875,8472.0,8160.88037109375,full_model,training,2164380
2668349,8315.0185546875,8480.0,8159.63818359375,full_model,training,2668349
3289666,8324.228515625,8488.0,8159.3671875,full_model,training,3289666
4055654,8337.572265625,8500.0,8160.90771484375,full_model,training,4055654
4999999,8351.9140625,8516.0,8160.95556640625,full_model,training,4999999
499999,8236.7626953125,8450.0,8114.46875,full_model,inference,499999
616423,8239.3779296875,8450.0,8114.4677734375,full_model,inference,616423
759955,8241.13037109375,8442.0,8114.4658203125,full_model,inference,759955
936908,8243.4248046875,8446.0,8114.4638671875,full_model,inference,936908
1155064,8247.13037109375,8448.0,8114.4658203125,full_model,inference,1155064
1424017,8251.12939453125,8452.0,8114.46484375,full_model,inference,1424017
1755595,8255.9169921875,8458.0,8114.4638671875,full_model,inference,1755595
2164380,8263.12939453125,8464.0,8114.46484375,full_model,inference,2164380
2668349,8269.84423828125,8472.0,8114.4638671875,full_model,inference,2668349
3289666,8279.32421875,8482.0,8114.462890625,full_model,inference,3289666
4055654,8291.12841796875,8492.0,8114.4638671875,full_model,inference,4055654
4999999,8305.42333984375,8508.0,8114.46484375,full_model,inference,4999999
